price,num_bath,num_bed,num_parking,property_size,day,month,year,blacktown,mosman,parramatta,Apartment,Block of units,Duplex/semi-detached,House,Townhouse,Unit
490000.0,1.0,1.0,0.0,93.0,1.0,9.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
569000.0,1.0,2.0,1.0,104.0,31.0,8.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
720000.0,2.0,3.0,1.0,189.0,25.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
560000.0,1.0,1.0,1.0,76.0,25.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
641000.0,2.0,2.0,1.0,132.0,21.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
600000.0,1.0,1.0,1.0,72.0,21.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
640000.0,2.0,2.0,1.0,122.0,13.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
780000.0,1.0,2.0,1.0,251.0,12.0,8.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
530000.0,1.0,2.0,1.0,81.0,12.0,8.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
657000.0,2.0,2.0,1.0,145.0,11.0,8.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
635000.0,2.0,2.0,1.0,127.0,7.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
400000.0,1.0,1.0,1.0,81.0,7.0,8.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
680000.0,2.0,2.0,1.0,124.0,4.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
588000.0,1.0,2.0,1.0,150.0,4.0,8.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
805000.0,2.0,3.0,2.0,157.0,31.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
530000.0,1.0,1.0,1.0,79.0,31.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
572000.0,1.0,1.0,1.0,80.0,29.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
667000.0,1.0,2.0,2.0,122.0,27.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
650000.0,1.0,2.0,1.0,112.0,25.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
